ogc_fid,dn,id,forest_gro,ecoregion_
1914527,"800","59",Maple/Beech/Birch Group,Northeastern Highlands
97558,"920","14",Western Oak Group,Colorado Plateaus
1102207,"700","29",Elm/Ash/Cottonwood Group,Southwestern Tablelands
1922588,"700","59",Elm/Ash/Cottonwood Group,Northeastern Highlands
1698801,"370","50",California Mixed Conifer Group,Mojave Basin and Range
2912732,"200","75",Douglas-fir Group,Wasatch and Uinta Mountains
3264912,"900","82",Aspen/Birch Group,Chihuahuan Deserts
2573082,"360","68",Other Western Softwood Group,Southern Rockies
2729755,"300","70",Hemlock/Sitka Spruce Group,Blue Mountains
1323574,"300","38",Hemlock/Sitka Spruce Group,Idaho Batholith
979323,"140","20",Longleaf/Slash Pine Group,Southwestern Appalachians
1262745,"320","35",Western Larch Group,Columbia Plateau
3,"700","10",Elm/Ash/Cottonwood Group,Edwards Plateau
3072124,"160","79",Loblolly/Shortleaf Pine Group,South Central Plains
1422370,"500","40",Oak/Hickory Group,Atlantic Coastal Pine Barrens
75834,"260","13",Fir/Spruce/Mountain Hemlock Group,Canadian Rockies
